ST,Locid,City,Airport Name,S/L,2008 ENP
WI,ETB,West Bend,West Bend Municipal,GA,758
IA,IKV,Ankeny,Ankeny Regional,GA,757
OR,BKE,Baker City,Baker City Municipal,GA,756
OK,DUC,Duncan,Halliburton Field,GA,754
TX,FTW,Fort Worth,Fort Worth Meacham International,GA,751
AK,PEC,Pelican,Pelican,GA,744
AK,PNP,Pilot Point,Pilot Point,GA,738
AK,PEV,Perryville,Perryville,GA,723
MI,GLR,Gaylord,Gaylord Regional,GA,714
UT,PVU,Provo,Provo Municipal,GA,712
TX,NFW,Fort Worth,Fort Worth NAS Jrb/Carswell Field,GA,708
AK,CJX,Crooked Creek,Crooked Creek,GA,701
UT,LGU,Logan,Logan-Cache,GA,698
NV,HND,Las Vegas,Henderson Executive,GA,692
MO,IRK,Kirksville,Kirksville Regional,GA,684
PA,FKL,Franklin,Venango Regional,GA,681
NY,OIC,Norwich,Lt Warren Eaton,GA,680
AK,4K0,Pedro Bay,Pedro Bay,GA,678
FL,VRB,Vero Beach,Vero Beach Municipal,GA,671
CA,MMH,Mammoth Lakes,Mammoth Yosemite,GA,665
ID,SZT,Sandpoint,Sandpoint,GA,663
AK,PPC,Prospect Creek,Prospect Creek,GA,662
AK,TKE,Tenakee Springs,Tenakee,GA,639
IN,HUF,Terre Haute,Terre Haute International-Hulman Field,GA,637
TX,AFW,Fort Worth,Fort Worth Alliance,GA,634
AL,BFM,Mobile,Mobile Downtown,GA,622
AR,LRF,Jacksonville,Little Rock AFB,GA,622
AK,EAA,Eagle,Eagle,GA,621
FL,MCF,Tampa,MacDill AFB,GA,621
AK,PBV,St. George,St George,GA,604
NY,OGS,Ogdensburg,Ogdensburg International,GA,603
HI,JRF,Kapolei,Kalaeloa (John Rodgers Field),GA,600
MT,LWT,Lewistown,Lewistown Municipal,GA,596
ID,S76,Coeur d'Alene,Brooks,GA,595
KY,BWG,Bowling Green,Bowling Green-Warren County Regional,GA,591
AZ,RQE,Window Rock,Window Rock,GA,590
OR,UAO,Aurora,Aurora State,GA,583
CA,NJK,El Centro,El Centro NAF,GA,569
AK,KCL,Chignik Flats,Chignik Lagoon,GA,566
OH,FFO,Dayton,Wright-Patterson AFB,GA,555
AK,SVS,Stevens Village,Stevens Village,GA,554
SC,AND,Anderson,Anderson Regional,GA,552
AK,CXF,Coldfoot,Coldfoot,GA,537
IN,TYQ,Zionsville,Indianapolis Executive,GA,531
AK,9Z8,Levelock,Levelock,GA,527
CO,BJC,Broomfield,Rocky Mountain Metropolitan,GA,524
CO,LMO,Longmont,Vance Brand,GA,524
NY,ART,Watertown,Watertown International,GA,524
IL,DPA,DuPage (County),Dupage,GA,513
AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,GA,511
IA,CIN,Carroll,Arthur N Neu,GA,511
FL,SUA,Stuart,Witham Field,GA,508
AK,A57,Yakutat,Alsek River,GA,507
WA,S10,Chelan,Lake Chelan,GA,507
AK,KFP,False Pass,False Pass,GA,505
AK,KYK,Karluk,Karluk,GA,505
TN,MQY,Smyrna,Smyrna,GA,504
FL,OCF,Ocala,Ocala International-Jim Taylor Field,GA,503
TX,RKP,Rockport,Aransas County,GA,502
MT,32S,Stevensville,Stevensville,GA,500
TX,07TA,Danbury,Salaika Aviation,GA,500
AK,CLP,Clarks Point,Clarks Point,GA,497
AK,SKW,Skwentna,Skwentna,GA,496
WA,SKA,Spokane,Fairchild AFB,GA,495
WA,NUW,Oak Harbor,Whidbey Island NAS /Ault Field/,GA,491
AK,1AK3,Cold Bay,Port Moller,GA,487
IA,IOW,Iowa City,Iowa City Municipal,GA,487
AK,JZZ,Koliganek,Koliganek,GA,481
CA,SVE,Susanville,Susanville Municipal,GA,476
AK,Z91,Birch Creek,Birch Creek,GA,472
AK,SLQ,Sleetmute,Sleetmute,GA,467
MO,CGI,Scott City,Cape Girardeau Regional,GA,443
NY,FOK,Westhampton Beach,Francis S Gabreski,GA,441
NH,CON,Concord,Concord Municipal,GA,435
MA,BAF,Westfield,Barnes Municipal,GA,419
NM,ALM,Alamogordo,Alamogordo-White Sands Regional,GA,414
PA,PNE,Philadelphia,Northeast Philadelphia,GA,410
HI,MUE,Kamuela,Waimea-Kohala,GA,407
CA,TRM,Palm Springs,Jacqueline Cochran Regional,GA,406
AK,A63,Twin Hills,Twin Hills,GA,405
CA,SLI,Los Alamitos,Los Alamitos AAF,GA,401
AZ,DMA,Tucson,Davis Monthan AFB,GA,397
LA,NEW,New Orleans,Lakefront,GA,393
ID,SMN,Salmon,Lemhi County,GA,392
OH,LNN,Willoughby,Willoughby Lost Nation Municipal,GA,390
AK,9A3,Chuathbaluk,Chuathbaluk,GA,383
CA,NLC,Lemoore,Lemoore NAS (Reeves Field),GA,382
PA,NXX,Willow Grove,Willow Grove NAS Jrb,GA,381
ND,MIB,Minot,Minot AFB,GA,380
MO,SZL,Knob Noster,Whiteman AFB,GA,379
AL,ANB,Anniston,Anniston Metropolitan,GA,374
NM,ZUN,Black Rock,Black Rock,GA,374
WA,0S9,Port Townsend,Jefferson County International,GA,374
NM,94E,Silver City,Whiskey Creek,GA,370
KS,AAO,Wichita,Colonel James Jabara,GA,366
AK,FSP,Nikolai,Nikolai,GA,364
WI,FLD,Fond du Lac,Fond du Lac County,GA,361
FL,CRG,Jacksonville,Craig Municipal,GA,358
NM,SAF,Santa Fe,Santa Fe Municipal,GA,355
AK,BCV,Birchwood,Birchwood,GA,350
MO,STJ,St. Joseph,Rosecrans Memorial,GA,346
CA,HHR,Hawthorne,Jack Northrop Field/Hawthorne Municipal,GA,344
OH,16G,Tiffin,Seneca County,GA,344
MT,GGW,Glasgow,Wokal Field/Glasgow International,GA,343
MI,DET,Detroit,Coleman A. Young Municipal,GA,342
CT,BDR,Bridgeport,Igor I Sikorsky Memorial,GA,340
TN,JWN,Nashville,John C Tune,GA,340
CA,UDD,Palm Springs,Bermuda Dunes,GA,335
